id,range_names,GPU Elapsed Time
1,Draw,11
2,Draw,10.52
3,Draw,7.24
4,Draw,6.52
5,Draw,10.2
6,Draw,6.04
7,Draw,11.8
8,Draw,7.28
9,Draw,5.72
10,Draw,6.44
11,Draw,5.8
12,Draw,5.88
13,Draw,21.44
14,Draw,6.08
15,Draw,18.36
16,Draw,6.24
17,Draw,5.48
18,Draw,5.8
19,Draw,6.12
20,Draw,5.48
21,Draw,5.64
22,Draw,5.96
23,Draw,6
24,Draw,5.72
25,Draw,5.8
26,Draw,10.32
27,Draw,6.04
28,Draw,11.2
29,Draw,7.08
30,Draw,6.28
31,Draw,5.84
32,Draw,7.28
33,Draw,7.88
34,Draw,36.96
35,ClearRenderTargetView,104.84
36,DrawIndexed,13.64
37,DrawIndexed,8.48
38,ClearRenderTargetView,0.6
39,ClearDepthStencilView,0.56
40,CopySubresourceRegion,9.76
41,ClearRenderTargetView,7.92
42,ClearRenderTargetView,7.64
43,ClearRenderTargetView,7.64
44,ClearRenderTargetView,7.64
45,ClearDepthStencilView,10.6
46,DrawIndexedInstanced,916.52
47,DrawIndexedInstanced,1370.08
48,DrawIndexedInstanced,109.92
49,DrawIndexedInstanced,181.12
50,DrawIndexedInstanced,479.52
51,DrawIndexedInstanced,119.92
52,DrawIndexedInstanced,224.88
53,DrawIndexedInstanced,688.92
54,DrawIndexedInstanced,471.36
55,DrawIndexedInstanced,589.2
56,DrawIndexedInstanced,2676.64
57,DrawIndexed,16.16
58,DrawIndexed,20.2
59,DrawIndexed,59.76
60,DrawIndexed,18
61,DrawIndexed,13.48
62,DrawIndexed,6.32
63,DrawIndexed,6.2
64,DrawIndexed,6.04
65,DrawIndexed,12.88
66,DrawIndexed,5.44
67,DrawIndexed,14.32
68,DrawIndexed,15.36
69,DrawIndexed,14.2
70,DrawIndexed,14.32
71,DrawIndexed,14.88
72,DrawIndexed,15.68
73,DrawIndexed,15.28
74,DrawIndexed,15.68
75,DrawIndexed,16.88
76,DrawIndexed,15.64
77,DrawIndexed,16.08
78,DrawIndexed,16.2
79,DrawIndexed,15.88
80,DrawIndexed,15.32
81,DrawIndexed,15.92
82,DrawIndexed,15.64
83,DrawIndexed,16.08
84,DrawIndexed,14.24
85,DrawIndexed,16.88
86,DrawIndexed,14.84
87,DrawIndexed,15.44
88,DrawIndexed,17.04
89,DrawIndexed,15.24
90,DrawIndexed,13.72
91,DrawIndexed,13.2
92,DrawIndexed,11.52
93,DrawIndexed,28.88
94,DrawIndexed,9.96
95,DrawIndexed,9.44
96,DrawIndexed,9.48
97,DrawIndexed,8.84
98,DrawIndexed,8.92
99,DrawIndexed,5.6
100,DrawIndexed,5.84
101,DrawIndexed,6.04
102,DrawIndexed,5.6
103,DrawIndexed,5.72
104,DrawIndexed,23.72
105,DrawIndexed,17.36
106,DrawIndexed,15.28
107,DrawIndexed,18.08
108,DrawIndexed,18.52
109,DrawIndexed,15.16
110,DrawIndexed,14.08
111,DrawIndexed,16.04
112,DrawIndexed,15
113,DrawIndexed,15.08
114,DrawIndexed,14.72
115,DrawIndexed,14.96
116,DrawIndexed,13.88
117,DrawIndexed,14.92
118,DrawIndexed,15.8
119,DrawIndexed,17.52
120,DrawIndexed,14.68
121,DrawIndexed,14.2
122,DrawIndexed,4.28
123,DrawIndexed,14.2
124,DrawIndexed,14.84
125,DrawIndexed,14.24
126,DrawIndexed,17.72
127,DrawIndexed,14.32
128,DrawIndexed,11.24
129,DrawIndexed,48.72
130,DrawIndexed,13.04
131,DrawIndexed,9.2
132,DrawIndexed,49.48
133,DrawIndexed,9.16
134,DrawIndexed,11.4
135,DrawIndexed,8.04
136,DrawIndexed,8.16
137,DrawIndexed,49
138,DrawIndexed,10.28
139,DrawIndexed,10.28
140,DrawIndexed,11.8
141,DrawIndexed,43.84
142,DrawIndexed,79.12
143,DrawIndexed,16.36
144,DrawIndexed,12.04
145,DrawIndexed,11.84
146,DrawIndexed,11.44
147,DrawIndexed,94.24
148,DrawIndexed,49.32
149,DrawIndexed,11.92
150,DrawIndexed,71.04
151,DrawIndexed,17.88
152,DrawIndexed,10.32
153,DrawIndexed,8.88
154,DrawIndexed,9.52
155,DrawIndexed,8.32
156,DrawIndexed,45.08
157,DrawIndexed,10.72
158,DrawIndexed,13
159,DrawIndexed,9.32
160,DrawIndexed,10.08
161,DrawIndexed,10.64
162,DrawIndexed,9.28
163,DrawIndexed,7.84
164,DrawIndexed,14.32
165,DrawIndexed,78.08
166,DrawIndexed,13.72
167,DrawIndexed,10.8
168,DrawIndexed,11.48
169,DrawIndexed,11.92
170,DrawIndexed,10.72
171,DrawIndexed,9.08
172,DrawIndexed,9.28
173,DrawIndexed,8.52
174,DrawIndexed,8.96
175,DrawIndexed,45.68
176,DrawIndexed,14.16
177,DrawIndexed,9.44
178,DrawIndexed,10.04
179,DrawIndexed,9.44
180,DrawIndexed,8.76
181,DrawIndexed,13.96
182,DrawIndexed,17.56
183,DrawIndexed,9.44
184,DrawIndexed,10.64
185,DrawIndexed,8.2
186,DrawIndexed,10.56
187,DrawIndexed,10.8
188,DrawIndexed,7.48
