id,range_names,Clipper Invocations,Post-Clip Primitives,CS Invocations,DS Invocations,GPU Elapsed Time,GS Invocations,Post-GS Primitives,HS Invocations,Primitive Count,Vertex Count,VS Invocations,Pixels Rendered,PS Invocations
1,Draw,0,0,0,0,14,0,0,0,14,14,14,0,0
2,Draw,0,0,0,0,18,0,0,0,2501,2501,2501,0,0
3,Draw,0,0,0,0,14,0,0,0,832,832,832,0,0
4,Draw,0,0,0,0,12,0,0,0,476,476,476,0,0
5,Draw,0,0,0,0,16,0,0,0,2501,2501,2501,0,0
6,Draw,0,0,0,0,12,0,0,0,476,476,476,0,0
7,Draw,0,0,0,0,17,0,0,0,2501,2501,2501,0,0
8,Draw,0,0,0,0,13,0,0,0,465,465,465,0,0
9,Draw,0,0,0,0,11,0,0,0,465,465,465,0,0
10,Draw,0,0,0,0,12,0,0,0,476,476,476,0,0
11,Draw,0,0,0,0,12,0,0,0,476,476,476,0,0
12,Draw,0,0,0,0,10,0,0,0,465,465,465,0,0
13,Draw,0,0,0,0,25,0,0,0,4496,4496,4496,0,0
14,Draw,0,0,0,0,12,0,0,0,476,476,476,0,0
15,Draw,0,0,0,0,21,0,0,0,4496,4496,4496,0,0
16,Draw,0,0,0,0,12,0,0,0,465,465,465,0,0
17,Draw,0,0,0,0,12,0,0,0,465,465,465,0,0
18,Draw,0,0,0,0,11,0,0,0,476,476,476,0,0
19,Draw,0,0,0,0,11,0,0,0,465,465,465,0,0
20,Draw,0,0,0,0,11,0,0,0,465,465,465,0,0
21,Draw,0,0,0,0,12,0,0,0,476,476,476,0,0
22,Draw,0,0,0,0,10,0,0,0,476,476,476,0,0
23,Draw,0,0,0,0,12,0,0,0,465,465,465,0,0
24,Draw,0,0,0,0,10,0,0,0,476,476,476,0,0
25,Draw,0,0,0,0,12,0,0,0,465,465,465,0,0
26,Draw,0,0,0,0,16,0,0,0,2501,2501,2501,0,0
27,Draw,0,0,0,0,12,0,0,0,476,476,476,0,0
28,Draw,0,0,0,0,12,0,0,0,465,465,465,0,0
29,Draw,0,0,0,0,14,0,0,0,832,832,832,0,0
30,Draw,0,0,0,0,12,0,0,0,476,476,476,0,0
31,Draw,0,0,0,0,12,0,0,0,465,465,465,0,0
32,Draw,0,0,0,0,14,0,0,0,998,998,998,0,0
33,Draw,0,0,0,0,13,0,0,0,998,998,998,0,0
34,Draw,0,0,0,0,29,0,0,0,7767,7767,7767,0,0
35,ClearRenderTargetView,0,0,0,0,32,0,0,0,0,0,0,0,0
36,DrawIndexed,144,144,0,0,24,0,0,0,144,432,135,309,309
37,DrawIndexed,144,144,0,0,21,0,0,0,144,432,135,1444,1444
38,ClearRenderTargetView,0,0,0,0,7,0,0,0,0,0,0,0,0
39,ClearDepthStencilView,0,0,0,0,7,0,0,0,0,0,0,0,0
40,CopySubresourceRegion,0,0,0,0,14,0,0,0,0,0,0,0,0
41,ClearRenderTargetView,0,0,0,0,54,0,0,0,0,0,0,0,0
42,ClearRenderTargetView,0,0,0,0,13,0,0,0,0,0,0,0,0
43,ClearRenderTargetView,0,0,0,0,11,0,0,0,0,0,0,0,0
44,ClearRenderTargetView,0,0,0,0,14,0,0,0,0,0,0,0,0
45,ClearDepthStencilView,0,0,0,0,26,0,0,0,0,0,0,0,0
46,DrawIndexedInstanced,1008,842,0,0,380,0,0,0,1008,3024,1128,419233,419233
47,DrawIndexedInstanced,6144,4161,0,0,568,0,0,0,6144,18432,6912,616378,616378
48,DrawIndexedInstanced,24800,23774,0,0,74,0,0,0,24800,74400,27150,6605,6605
49,DrawIndexedInstanced,23312,22244,0,0,118,0,0,0,23312,69936,25521,20759,20759
50,DrawIndexedInstanced,81144,77643,0,0,276,0,0,0,81144,243432,91238,55265,55265
51,DrawIndexedInstanced,20832,20325,0,0,78,0,0,0,20832,62496,22764,8217,8217
52,DrawIndexedInstanced,37696,36531,0,0,129,0,0,0,37696,113088,41192,15506,15506
53,DrawIndexedInstanced,104328,97577,0,0,352,0,0,0,104328,312984,117870,71746,71746
54,DrawIndexedInstanced,111888,104120,0,0,279,0,0,0,111888,335664,120324,45683,45683
55,DrawIndexedInstanced,126504,121738,0,0,319,0,0,0,126504,379512,136042,46689,46689
56,DrawIndexedInstanced,411136,380388,0,0,1538,0,0,0,411136,1.23341e+06,462528,334053,334053
57,DrawIndexed,288,288,0,0,25,0,0,0,288,864,225,152,152
58,DrawIndexed,2646,2646,0,0,26,0,0,0,2646,7938,2215,0,1974
59,DrawIndexed,9828,9656,0,0,39,0,0,0,9828,29484,8243,0,21343
60,DrawIndexed,2938,2938,0,0,24,0,0,0,2938,8814,3925,749,749
61,DrawIndexed,670,670,0,0,20,0,0,0,670,2010,804,2,2
62,DrawIndexed,536,536,0,0,15,0,0,0,536,1608,644,0,0
