id,range_names,Clipper Invocations,Post-Clip Primitives,CS Invocations,DS Invocations,GS Invocations,Post-GS Primitives,HS Invocations,Primitive Count,Vertex Count,VS Invocations,Pixels Rendered,PS Invocations,GPU Frequency,CS EM Pipe Active,CS FPU Pipe Active,CS Send Pipeline Active,CS Threads Dispatched,DS EM Pipe Active,DS FPU Pipe Active,DS Send Pipe Active,GPU Duration,Early Depth Test Fails,EM Pipe Active,EU Active,EU FPU And EM Pipes Active,EU Send Pipe Active,EU Stall,EU Thread Occupancy,EU FPU Pipe Active,GPU Core Clocks,GS EM Pipe Active,GS FPU Pipe Active,GS Send Pipe Active,GTI Read Throughput,GTI Write Throughput,SQ00 is full,SQ01 is full,SQ10 is full,SQ11 is full,Early Hi-Depth Test Fails,HS EM Pipe Active,HS FPU Pipe Active,HS Send Pipe Active,Non-PS Thread Ready For Dispatch on Slice0 DualSubslice0 Thread Dispatcher,Non-PS Thread Ready For Dispatch on Slice0 DualSubslice1 Thread Dispatcher,Non-PS Thread Ready For Dispatch on Slice0 DualSubslice2 Thread Dispatcher,Non-PS Thread Ready For Dispatch on Slice0 DualSubslice3 Thread Dispatcher,Non-PS Thread Ready For Dispatch on Slice0 DualSubslice4 Thread Dispatcher,Non-PS Thread Ready For Dispatch on Slice0 DualSubslice5 Thread Dispatcher,Slice0 Pipe0 Post-EarlyZ Pixel Data Ready,Slice0 Pipe0 Pixel Values Ready,Slice0 Pipe1 Pixel Values Ready,Slice0 Pipe2 Pixel Values Ready,Polygon Data Ready,PS EM Pipe Active,PS FPU Pipe Active,PS Send Pipeline Active,Slice0 Pipe0 PS Output Available,Slice0 Pipe1 PS Output Available,Slice0 Pipe2 PS Output Available,PS Thread Ready For Dispatch on Slice0 Dualsubslice0 Thread Dispatcher,PS Thread Ready For Dispatch on Slice0 Dualsubslice1 Thread Dispatcher,PS Thread Ready For Dispatch on Slice0 Dualsubslice2 Thread Dispatcher,PS Thread Ready For Dispatch on Slice0 Dualsubslice3 Thread Dispatcher,PS Thread Ready For Dispatch on Slice0 Dualsubslice4 Thread Dispatcher,PS Thread Ready For Dispatch on Slice0 Dualsubslice5 Thread Dispatcher,Rasterized Pixels,Slice0 Rasterizer Input Available,Slice0 Rasterizer Output Ready,Slice0 DualSubslice0 Input Available,Slice0 DualSubslice0 Sampler Output Ready,Slice0 DualSubslice1 Input Available,Slice0 DualSubslice1 Sampler Output Ready,Slice0 DualSubslice2 Input Available,Slice0 DualSubslice2 Sampler Output Ready,Slice0 DualSubslice3 Input Available,Slice0 DualSubslice3 Sampler Output Ready,Slice0 DualSubslice4 Input Available,Slice0 DualSubslice4 Sampler Output Ready,Slice0 DualSubslice5 Input Available,Slice0 DualSubslice5 Sampler Output Ready,Samplers Bottleneck,Sampler Texels,Samplers Busy,Samples Blended,Samples Killed in PS,Samples Written,Thread Header Ready on Slice0 DualSubslice0 Thread Dispatcher,Thread Header Ready on Slice0 DualSubslice0 Thread Dispatcher Port 0,Thread Header Ready on Slice0 DualSubslice0 Thread Dispatcher Port 1,Thread Header Ready on Slice0 DualSubslice0 Thread Dispatcher Port 2,Thread Header Ready on Slice0 DualSubslice0 Thread Dispatcher Port 3,Thread Header Ready on Slice0 DualSubslice1 Thread Dispatcher,Thread Header Ready on Slice0 DualSubslice1 Thread Dispatcher Port 0,Thread Header Ready on Slice0 DualSubslice1 Thread Dispatcher Port 1,Thread Header Ready on Slice0 DualSubslice1 Thread Dispatcher Port 2,Thread Header Ready on Slice0 DualSubslice1 Thread Dispatcher Port 3,Thread Header Ready on Slice0 DualSubslice2 Thread Dispatcher,Thread Header Ready on Slice0 DualSubslice2 Thread Dispatcher Port 0,Thread Header Ready on Slice0 DualSubslice2 Thread Dispatcher Port 1,Thread Header Ready on Slice0 DualSubslice2 Thread Dispatcher Port 2,Thread Header Ready on Slice0 DualSubslice2 Thread Dispatcher Port 3,Thread Header Ready on Slice0 DualSubslice3 Thread Dispatcher,Thread Header Ready on Slice0 DualSubslice3 Thread Dispatcher Port 0,Thread Header Ready on Slice0 DualSubslice3 Thread Dispatcher Port 1,Thread Header Ready on Slice0 DualSubslice3 Thread Dispatcher Port 2,Thread Header Ready on Slice0 DualSubslice3 Thread Dispatcher Port 3,Thread Header Ready on Slice0 DualSubslice4 Thread Dispatcher,Thread Header Ready on Slice0 DualSubslice4 Thread Dispatcher Port 0,Thread Header Ready on Slice0 DualSubslice4 Thread Dispatcher Port 1,Thread Header Ready on Slice0 DualSubslice4 Thread Dispatcher Port 2,Thread Header Ready on Slice0 DualSubslice4 Thread Dispatcher Port 3,Thread Header Ready on Slice0 DualSubslice5 Thread Dispatcher,Thread Header Ready on Slice0 DualSubslice5 Thread Dispatcher Port 0,Thread Header Ready on Slice0 DualSubslice5 Thread Dispatcher Port 1,Thread Header Ready on Slice0 DualSubslice5 Thread Dispatcher Port 2,Thread Header Ready on Slice0 DualSubslice5 Thread Dispatcher Port 3,VS EM Pipe Active,VS FPU Pipe Active,VS Send Pipe Active
1,Draw,0,0,0,0,0,0,0,14,14,14,0,0,1298,0,0,0,0,0,0,0,18,0,0,0.00964036,0,0.00272747,0.526922,0.010341,0.00613477,24636,0,0,0,4288,42368,0,0,0,0,0,0,0,0,0.0249969,0,0,0,0,0,0.0366002,0,0,0,0.0360158,0,0.000259759,0,0.0284669,0.0284669,0.0284669,0,0,0,0,0,0,2.0736e+06,68.414,68.2269,0.0282214,0.0240269,0,0,0,0,0,0,0,0,0,0,0,48,9.2994,0,0,0,0.0249969,0.0124984,0,0,0.0124984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00454579,0.00357917
2,Draw,0,0,0,0,0,0,0,2501,2501,2501,0,0,1299,4.34979e-05,0,0,0,0,0.000512915,0,12,0,0.0199652,1.86925,0,0.498328,12.9005,1.96807,1.33767,16037,0.000514467,0.000514467,0,143616,100544,0,0,0,0,0,0,0.000769373,0,1.11084,1.03678,0.981239,0.944211,0.888669,0.851642,0.0185448,0,0,0,0.0251114,0.00419335,0.00972476,0,0.0185448,0.0185448,0.0185448,0,0,0,0,0,0,0,0.0185448,0.0185448,4.18915,4.07134,4.04951,3.71705,3.88448,3.42281,3.77023,3.2907,3.4973,2.75626,3.19264,2.78028,0,15024,23.7264,0,0,0,1.11084,0.222167,0.259195,0.333251,0.296223,1.03678,0.222167,0.222167,0.296223,0.296223,1.02415,0.227589,0.227589,0.26552,0.303452,0.948287,0.227589,0.227589,0.227589,0.26552,0.910355,0.227589,0.227589,0.227589,0.227589,0.822898,0.178891,0.178891,0.250447,0.214669,0.0151215,1.38144,0.486244
3,Draw,0,0,0,0,0,0,0,832,832,832,0,0,1297,0,0,0,0,0,0,0,6,0,0.01219,1.12428,0,0.302615,17.2773,2.16658,0.816727,8952,0.000232957,0,0,49344,33728,0,0,0,0,0,0,0,0,0.584416,0.584416,0.584416,0.584416,0.519481,0.519481,0.0340175,0,0,0,0.0445931,0.00159276,0,0,0.0340175,0.0340175,0.0340175,0,0,0,0,0,0,0,0.0340175,0.0340175,2.05855,1.50305,2.05855,1.56611,2.05855,1.67122,2.05855,1.6502,1.78408,1.30334,1.94419,1.30334,0,4992,18.8673,0,0,0,0.584416,0.12987,0.12987,0.12987,0.194805,0.584416,0.12987,0.12987,0.12987,0.194805,0.593276,0.131839,0.131839,0.197759,0.131839,0.593276,0.131839,0.164799,0.164799,0.131839,0.527357,0.131839,0.131839,0.131839,0.131839,0.527473,0.131868,0.131868,0.131868,0.131868,0.00978411,0.8448,0.303829
4,Draw,0,0,0,0,0,0,0,476,476,476,0,0,1299,0,0,0,0,0,0,0,5,0,0,0.544839,0,0.207378,16.5427,3.65329,0.35842,6791,0,0,0,23488,19520,0,0,0,0,0,0,0,0,0.451739,0.451739,0.451739,0.451739,0.451739,0.451739,0.0428143,0,0,0,0.0594972,0,0,0,0.0428143,0.0428143,0.0428143,0,0,0,0,0,0,0,0.0428143,0.0428143,0.592467,0.565299,0.592467,0.521815,0.592467,0.53631,0.592467,0.565299,0.677105,0.53631,0.662999,0.53631,0,1440,19.2608,0,0,0,0.451739,0.0903478,0.0903478,0.180696,0.0903478,0.451739,0.0903478,0.0903478,0.180696,0.0903478,0.444379,0.0888757,0.0888757,0.0888757,0.177751,0.444379,0.0888757,0.0888757,0.0888757,0.177751,0.444379,0.0888757,0.0888757,0.177751,0.0888757,0.381922,0.114577,0.0763845,0.0763845,0.114577,0,0.36538,0.203214
5,Draw,0,0,0,0,0,0,0,2501,2501,2501,0,0,1297,0,0,0,0,0,0,0,11,0,0.0124741,1.96206,0,0.509218,11.1667,2.00091,0.835765,15255,0,0,0,141568,100544,0,0,0,0,0,0,0,0,1.13763,1.07878,1.05917,1.01994,1.00033,0.863027,0.019923,0,0,0,0.0113834,0,0,0,0.019923,0.019923,0.019923,0,0,0,0,0,0,0,0.019923,0.019923,4.51197,4.30846,4.32781,3.70489,4.18969,3.26185,3.74901,3.24258,3.72928,3.12059,3.407,2.82522,0,15024,23.9725,0,0,0,1.13763,0.235371,0.235371,0.313828,0.353057,1.07878,0.235371,0.196143,0.313828,0.333442,1.08115,0.240256,0.200214,0.320342,0.320342,1.00107,0.200214,0.200214,0.320342,0.280299,1.04111,0.240256,0.200214,0.280299,0.320342,0.799746,0.190416,0.190416,0.228499,0.190416,0.0214009,1.42197,0.518475
6,Draw,0,0,0,0,0,0,0,476,476,476,0,0,1297,0,0,0,0,0,0,0,4,0,0,0.633715,0,0.238776,12.0825,2.04855,0.375131,5809,0,0,0,22464,19520,0,0,0,0,0,0,0,0,0.534188,0.534188,0.534188,0.534188,0.587607,0.480769,0.0516707,0,0,0,0.0381388,0,0,0,0.0516707,0.0516707,0.0516707,0,0,0,0,0,0,0,0.0516707,0.0516707,0.887311,0.614464,0.887311,0.598708,0.887311,0.567197,0.851819,0.614464,0.869565,0.614464,0.905058,0.535686,0,1440,19.728,0,0,0,0.534188,0.106838,0.106838,0.213675,0.106838,0.534188,0.106838,0.106838,0.213675,0.106838,0.50184,0.100368,0.100368,0.200736,0.100368,0.50184,0.100368,0.100368,0.100368,0.200736,0.50184,0.100368,0.100368,0.200736,0.100368,0.484262,0.0968523,0.145278,0.0968523,0.145278,0,0.420701,0.228056
7,Draw,0,0,0,0,0,0,0,2501,2501,2501,0,0,1299,0,0,0,0,0,0,0,11,0,0.0218338,2.02087,0,0.520079,10.1004,1.85461,1.46287,14842,0,0,0,141504,100544,0,0,0,0,0,0,0,0,1.16513,1.06468,1.08477,1.0446,0.964243,0.984331,0.0199495,0,0,0,0.0266791,0,0,0,0.0199495,0.0199495,0.0199495,0,0,0,0,0,0,0,0.0199495,0.0199495,3.54514,4.33673,3.42594,4.15548,3.42075,3.65199,3.09941,3.26933,2.77288,3.14178,2.47745,3.00752,0,15024,22.6789,0,0,0,1.16513,0.281237,0.281237,0.281237,0.321414,1.06468,0.220972,0.241061,0.281237,0.321414,1.02767,0.197628,0.237154,0.27668,0.316206,1.02767,0.237154,0.197628,0.316206,0.27668,1.02767,0.197628,0.197628,0.316206,0.316206,0.916213,0.239012,0.199177,0.239012,0.239012,0.0218919,1.45189,0.521934
8,Draw,0,0,0,0,0,0,0,465,465,465,0,0,1298,0,0,0,0,0,0,0,4,0,0,0.575285,0,0.223951,10.7295,1.37149,0.379661,6399,0,0,0,22208,19072,0,0,0,0,0,0,0,0,0.497265,0.497265,0.497265,0.497265,0.546992,0.397812,0.0497018,0,0,0,0.0622665,0,0,0,0.0497018,0.0497018,0.0497018,0,0,0,0,0,0,0,0.0497018,0.0497018,0.793782,0.368133,0.793782,0.358694,0.760708,0.349254,0.793782,0.368133,0.744171,0.368133,0.611874,0.283179,0,1404,18.3779,0,0,0,0.497265,0.099453,0.099453,0.198906,0.099453,0.497265,0.099453,0.099453,0.198906,0.099453,0.498836,0.0997672,0.0997672,0.199534,0.0997672,0.498836,0.0997672,0.0997672,0.0997672,0.199534,0.54872,0.0997672,0.149651,0.0997672,0.199534,0.379027,0.0947568,0.0947568,0.0947568,0.0947568,0,0.394581,0.220242
9,Draw,0,0,0,0,0,0,0,465,465,465,0,0,1301,0,0,0,0,0,0,0,4,0,0,0.716475,0,0.261819,14.3696,1.82024,0.46247,5138,0,0,0,21120,19072,0,0,0,0,0,0,0,0,0.56872,0.56872,0.56872,0.682464,0.511848,0.454976,0.038432,0,0,0,0.0572082,0,0,0,0.038432,0.038432,0.038432,0,0,0,0,0,0,0,0.038432,0.038432,0.846262,0.70922,0.846262,0.727884,0.75811,0.671893,0.846262,0.70922,0.863893,0.671893,0.652327,0.634565,0,1404,24.1339,0,0,0,0.56872,0.113744,0.113744,0.113744,0.227488,0.56872,0.113744,0.113744,0.113744,0.227488,0.56926,0.113852,0.113852,0.113852,0.227704,0.56926,0.113852,0.113852,0.227704,0.113852,0.626186,0.170778,0.113852,0.170778,0.170778,0.421867,0.105467,0.105467,0.105467,0.105467,0,0.461301,0.26289
10,Draw,0,0,0,0,0,0,0,476,476,476,0,0,1297,0,0,0,0,0,0,0,3,0,0,0.723374,0,0.272339,13.6442,2.78378,0.46626,5089,0,0,0,21632,19520,0,0,0,0,0,0,0,0,0.605571,0.605571,0.605571,0.605571,0.605571,0.605571,0.0395726,0,0,0,0.0554734,0,0,0,0.0395726,0.0395726,0.0395726,0,0,0,0,0,0,0,0.0395726,0.0395726,0.18885,0.577069,0.18885,0.546697,0.192784,0.546697,0.18885,0.577069,0.208522,0.561883,0.208522,0.561883,0,1440,23.7768,0,0,0,0.605571,0.121114,0.121114,0.242229,0.121114,0.605571,0.121114,0.121114,0.242229,0.121114,0.604961,0.120992,0.120992,0.241984,0.120992,0.604961,0.120992,0.120992,0.120992,0.241984,0.725953,0.120992,0.181488,0.241984,0.181488,0.583317,0.116663,0.174995,0.174995,0.116663,0,0.479836,0.266978
